59107,57956
96257,102853
265106,280746
67262,72704
56869,61163
92465,98230
167249,169016
148209,143617
56155,57779
49807,52565
179279,186159
103501,104126
51894,54539
54781,60671
208968,211035
94782,101062
160099,164979
98172,99727
399738,390652
170196,177287
292249,328712
110400,119093
57603,60693
61330,61033
55031,57549
50266,53904
99337,112900
101690,103981
295951,321643
50481,53002
69996,74233
82686,92337
125208,136102
49971,53369
51485,53843
51109,54053
75364,78941
58244,60853
65819,69415
62065,64261
49427,50950
115939,120184
56741,63342
353511,377913
79757,87917
108051,114158
1308072,1387526
118145,125771
142672,154271
64768,68161
52044,55641
190285,206530
203944,212483
52458,56042
66532,62740
90870,99015
384265,402768
60659,61408
58242,62854
75035,77339
149656,155559
55968,53992
598962,598854
49919,51204
68951,72576
55348,58035
300089,300069
99535,103898
337679,376098
54174,57598
108556,119774
62901,63595
57003,56472
311280,337841
53888,54300
62037,62932
74095,78920
54786,53695
49126,52660
71296,72615
76324,79861
56493,60936
52392,50627
51851,53470
53248,52301
96976,103588
49140,53294
97410,98659
71909,72077
87387,78134
122783,130908
363896,377310
106441,107648
243124,251541
57207,59782
66409,68752
60212,64142
85289,85594
111193,115683
102634,105819
111387,115334
91387,100332
85836,89560
91579,96461
51359,52698
126793,142873
51786,53808
65750,71686
60260,64515
71143,73043
126779,130950
108406,116263
49002,55369
68984,71784
166500,170756
1053517,1045934
94260,95732
87530,92575
56123,60707
396346,424099
52138,57535
103434,108941
108131,108159
80615,92899
398294,423490
122298,125299
72892,74541
72057,73729
223183,236604
62695,65226
85946,92928
58564,62059
69916,73064
78546,78087
55332,58965
114287,121804
294100,289656
145591,150212
129235,129144
92245,101279
226520,235737
1889064,1903557
289236,308101
52871,53648
112743,116830
114832,118377
54356,55209
62044,67833
64434,66683
307019,339870
215918,223123
66728,73096
67412,71069
198927,200530
50121,57046
54129,57018
286949,307884
192421,190157
57569,64472
91783,103328
97989,103176
96687,109077
94273,99092
50460,53006
53422,55333
68981,72872
291294,309928
62508,67271
166248,177581
3882544,4292589
137116,140024
87263,93456
125797,117006
55172,55753
108097,108864
52364,53185
189519,201205
82424,84662
285556,294443
62358,63514
201063,207895
81563,82361
68723,67693
115883,122417
83735,89637
100389,97510
74553,78197
49807,53383
115508,107659
66854,70268
74143,74900
70669,75530
71515,83235
73916,80149
54763,60244
719813,806193
725020,720612
148101,157603
127078,132763
74543,74515
80003,84600
289211,294565
85802,92240
55737,56751
52050,54545
195143,208749
81615,83654
114494,110727
50476,53225
97331,106883
150112,153759
51700,55069
101707,108858
73867,79004
56894,61894
227101,239387
77115,77522
76007,74434
95627,90813
647690,679717
103491,106433
52592,53841
660626,646776
408462,396773
475668,470274
165752,158776
58810,57658
86884,89436
81846,85969
65301,70985
104930,112455
304030,304630
93354,105957
61043,63194
76268,77620
48982,52186
101853,107063
88819,89576
54825,61425
72573,80487
77326,82172
154171,165123
139355,145713
117704,127065
60402,62241
62862,66837
142925,148782
70560,69521
94399,94973
56751,60766
69180,75990
97958,100439
85358,96018
164061,171648
49002,51095
84200,77519
58745,60027
61989,64694
138973,148235
60941,66532
70732,74706
257312,262804
190944,200962
56277,59665
78884,82907
58073,57830
214441,223553
60696,63746
59740,65065
64884,69172
284222,317501
52517,57849
51159,54939
51569,52143
65285,64195
52585,53529
188523,193845
54172,50381
50857,55619
107878,121739
88150,92895
92855,103121
